age,gender,height_cm,weight_kg,BMI
25,1,156.3,48.6,19.89382591
59,0,170,59.1,20.44982699
30,0,178.4,82.5,25.92174586
24,0,176,67.2,21.69421488
39,0,168.8,70.9,24.88292042
27,0,170.3,74.6,25.72228415
33,0,172.8,78.8,26.38996056
28,1,163.6,52.4,19.5778361
28,1,166.2,59.7,21.61286259
35,0,179.2,64.7,20.14782964
34,0,177.8,76.4,24.16739527
35,0,184.7,84.18,24.67602096
34,0,173.2,73.77,24.5914427
25,0,164.3,61.18,22.66388437
32,0,169.2,68.7,23.99694851
21,1,169.1,56.1,19.61894484
22,0,183.5,76.9,22.8377967
22,1,156.9,46.9,19.05140263
24,0,172.1,64.5,21.77699613
27,0,178.2,75.1,23.64964019
21,1,164.4,48.1,17.79678074
46,1,164.1,49.1,18.23326021
29,1,162.2,51.7,19.65118949
23,1,162.7,51.7,19.53059333
51,0,177.9,67.2,21.23329418
28,0,184.8,84.6,24.77230562
23,1,164.7,44.3,16.33114098
30,0,178.3,93.5,29.41094131
25,1,160.1,51.7,20.17009201
28,0,172.7,69.8,23.40295769
22,0,178.3,73.2,23.02546421
51,0,167.7,72.7,25.8504606
24,1,165.1,49.9,18.30654549
27,1,160.3,47.8,18.60205191
61,1,153.2,62.2,26.50164634
30,0,169.5,71.9,25.02588735
42,0,180.2,73.3,22.57326611
22,0,180.3,91.7,28.2083629
23,1,164.7,62.5,23.04054879
27,1,160.2,54.5,21.23593947
29,0,167.9,70.7,25.07945078
62,0,165.6,67.6,24.65051693
21,0,169.2,92.9,32.45002208
25,0,184.1,74.7,22.04007281
31,1,166.9,64.1,23.01152263
21,0,175,66.4,21.68163265
38,0,171.6,66.3,22.51536342
23,1,178.1,64.2,20.23984532
56,0,170.1,61.5,21.25526327
59,0,170.3,71,24.4809943
23,1,164.4,54.3,20.09075248
52,0,170,75.5,26.12456747
33,0,178,74.66,23.56394395
58,1,154.9,51.6,21.50536738
21,1,160.9,61.4,23.71681047
27,0,176,72.86,23.52143595
27,0,173.5,65.3,21.69273061
21,1,163,62.3,23.44837969
57,0,168.5,66,23.2457801
29,1,166.7,52.84,19.01479332
45,0,170,70,24.22145329
24,1,155.5,64.4,26.63330611
50,1,163.9,52.5,19.54345739
60,0,173,68.4,22.85408801
62,0,163.7,63.9,23.84533891
39,1,159.2,45.3,17.87360168
22,1,162.2,60.4,22.95806277
54,1,156.5,52.2,21.31286427
48,0,167.2,68.5,24.50293034
61,1,160.9,63.1,24.37346483
60,0,172.5,76,25.54085276
27,0,168.6,67.2,23.64036254
40,1,162.5,51.4,19.46508876
36,0,172.1,65.64,22.16189188
58,0,168.5,74.9,26.38043832
55,1,152.8,55.6,23.81376607
25,1,158.1,57.9,23.16406761
21,0,169.6,64.5,22.42373843
23,1,163.8,57.5,21.43088224
64,0,165.8,61.3,22.29930985
21,0,187.4,84.4,24.0327392
56,1,149.4,51.6,23.1179067
22,0,167.3,61.4,21.93696232
28,1,165.4,62,22.66317118
53,1,152.7,46.9,20.11382969
23,0,165.7,62.7,22.83613091
46,0,176.8,80.9,25.88117565
56,1,148.2,54.7,24.90525077
44,0,172,71,23.99945917
27,0,173.8,68.4,22.64417786
45,0,166.5,71.5,25.79155732
63,0,164.7,73.8,27.20628001
26,0,183.4,83.6,24.85464788
32,0,170.8,72.2,24.74921707
22,1,167,50.3,18.03578472
21,0,175,84.7,27.65714286
21,0,178.9,75.5,23.58990927
54,1,148,53.4,24.37910884
21,0,179,82.8,25.84189008
24,0,163.9,64.8,24.12221026
31,0,178,84.66,26.7201111
27,0,180.9,77.1,23.56010623
22,1,163.8,54.2,20.20093595
61,1,152.6,56.4,24.21977123
60,0,171.9,60.9,20.60940906
41,1,160,50,19.53125
59,0,166.1,67.8,24.57482472
51,0,174.5,71.2,23.38240244
34,0,181.1,70.5,21.49573089
22,1,169.2,53.2,18.58278982
22,1,162.1,55.1,20.969379
23,1,161.8,47.8,18.25874242
27,1,152.3,55.5,23.92727144
25,1,160.9,63.7,24.60522519
37,1,149.5,38.1,17.04678919
21,0,170,50.1,17.33564014
31,0,174,67.6,22.3279165
49,0,176.2,73.3,23.6097923
27,0,182.5,81,24.3197598
49,1,155.9,57,23.45214795
36,1,156.6,55,22.42741266
33,0,179.2,76.3,23.7601144
61,1,146.5,56.16,26.1668744
24,1,166.9,70,25.1295879
25,0,168.8,63.9,22.4262146
28,1,161.4,55.9,21.45876616
26,1,162.6,57.2,21.6349027
62,0,175,68,22.20408163
51,0,172.4,75.6,25.43590958
26,0,180.2,103.4,31.8427792
21,1,160.7,56.6,21.91718017
56,1,149,46.7,21.03508851
52,0,165.4,74.8,27.34201942
21,1,169.2,64.9,22.66960638
56,1,157.2,60.4,24.4417251
36,0,169.9,67.1,23.24533249
32,1,163.5,55.6,20.79884783
21,1,159.9,49.7,19.43835285
63,0,165.8,63.9,23.24512071
32,0,168,69.8,24.73072562
28,0,175.1,75.5,24.62491043
40,0,169.8,84.1,29.16893844
26,1,158.8,56.9,22.56374953
56,1,156.9,49.9,20.27004246
22,0,168.4,69.9,24.64864224
29,0,172.7,72.6,24.34175829
61,0,171.6,86.4,29.34128808
54,1,162.9,51.4,19.3696133
56,0,168.8,66.4,23.30360953
36,0,173,72.7,24.29082161
24,0,167.5,65.66,23.40298507
59,1,145.7,51.6,24.3069573
23,1,158.2,47.9,19.13914599
41,0,179.3,73.4,22.83155445
35,0,169.9,61.7,21.37462018
30,0,163.7,65.5,24.4424053
44,1,167.8,63.8,22.65879268
28,0,170,74,25.60553633
22,0,169.5,65,22.62423752
21,0,187.9,74.7,21.15763115
53,0,170,75.1,25.98615917
21,1,158.4,48.9,19.48940159
63,1,157.6,58.2,23.43206473
23,1,161.1,53,20.42136599
62,0,174.7,71.9,23.55825294
32,0,179.7,90,27.87060237
38,0,172.3,71.6,24.11806534
24,0,180.3,80.2,24.67078195
23,0,183.3,79.4,23.63173307
63,0,172.4,71.66,24.11028149
27,0,178.8,73.38,22.95317028
59,1,158.2,54.34,21.71234223
36,1,166.5,53.7,19.37072207
34,1,167.5,65.8,23.45288483
23,0,180.4,90.5,27.80836869
21,1,158.8,49.7,19.70858263
24,0,177,89.9,28.69545788
55,0,170,75.5,26.12456747
43,0,169,68.6,24.01876685
22,1,159.3,54,21.27953866
46,0,173.9,69.4,22.94881719
24,0,176,77.5,25.01936983
56,1,164,57.6,21.41582391
28,0,171.4,76.8,26.14204662
53,1,160.4,59.3,23.04867507
30,0,179.2,76.5,23.82239517
21,1,153,56.9,24.30689051
59,1,162,65.3,24.88187776
27,1,164.6,56.9,21.00161074
38,0,179.9,82.2,25.39858318
41,0,167.9,72.4,25.68249273
21,1,168.4,60.2,21.22815827
23,1,163.7,53.4,19.92709073
21,1,166.3,47.6,17.21164795
63,0,160.5,68.2,26.47489834
22,0,182.9,72.4,21.64268583
28,0,170.3,52.5,18.10214367
25,1,154,57.9,24.41389779
39,0,176.9,90.1,28.79182044
22,0,180.6,80,24.52756837
30,0,170.2,62.9,21.71358504
30,0,185.2,108.9,31.75015977
24,1,162.8,59.7,22.52503788
64,0,163.8,68.5,25.53070319
22,1,166,68.8,24.96733924
64,1,155.5,60,24.81363923
26,0,170.1,67.1,23.19070188
39,1,159.3,50.6,19.93971586
50,0,165.2,67,24.55018204
45,1,159.2,59.1,23.31853994
52,1,150.3,49.1,21.7351945
25,0,184,75.7,22.35940454
25,0,175.3,63.7,20.72886868
35,0,177.3,82.7,26.30801243
63,0,169.4,76.1,26.51904283
31,0,167,71.1,25.49392233
42,1,158.1,51,20.40358287
25,1,158.6,46.2,18.36688935
24,1,156.1,49.4,20.27314576
22,0,175.1,67.5,22.0156484
26,0,172.9,83.3,27.86474127
22,1,166,54.9,19.92306576
46,0,168,58.7,20.79790249
37,0,181.2,86,26.19280831
28,0,170,84.2,29.1349481
24,0,176.1,74.8,24.12031004
27,0,170,75.9,26.26297578
28,0,171,74.6,25.51212339
23,1,163.5,58.5,21.88367982
39,0,170.8,68.9,23.61802017
55,1,154.6,58.9,24.64315539
41,0,176.2,93.1,29.9873351
36,1,165.8,55.78,20.29128064
29,0,172.7,71.8,24.07352954
35,0,173.1,77.6,25.89808104
41,0,177,81.7,26.07807463
23,1,161.8,58.7,22.42234687
22,0,175.8,73.3,23.71735386
52,1,159.5,55.2,21.69789998
63,1,175.1,81.2,26.48400963
64,0,159.3,56.5,22.26470249
41,0,175.7,81.2,26.30343736
22,1,158.5,49.3,19.62403845
21,1,170.5,67.8,23.32281284
44,0,177.4,87.9,27.93068868
50,1,157.3,51.1,20.65206365
26,0,180.8,69.26,21.18778879
53,0,167,65.7,23.55767507
29,0,185,85.8,25.06939372
47,0,177.7,87.7,27.77312429
25,0,179.4,74.3,23.08574724
40,1,159.1,50.4,19.91086726
51,1,161.2,47.8,18.39491654
40,1,163.3,47.7,17.88735019
27,1,169.8,64.9,22.5096802
24,0,179.4,78.1,24.26644494
28,0,171.4,68.3,23.24872115
43,0,174.6,104.9,34.41018515
54,0,176,68.9,22.24302686
23,1,167.2,54.8,19.60234427
28,0,175.4,69.9,22.72050592
29,0,170,66,22.83737024
54,0,163,75.5,28.41657571
23,0,178.6,83.9,26.30262249
35,1,158.3,70.1,27.9741042
29,1,161.4,61.8,23.72364487
37,0,174.1,80.2,26.45920713
29,0,178.8,72.9,22.80302689
45,0,160,59.3,23.1640625
22,1,159.1,51.3,20.26641847
47,0,174.3,78.1,25.7072878
44,0,176.9,85.2,27.22600556
26,1,161.9,53.9,20.56340683
32,0,165.9,74.8,27.17745753
48,1,161.5,49.4,18.94008377
56,0,162.3,56.68,21.51754906
26,0,180.6,73.4,22.50404398
22,0,177.1,71.4,22.76465586
43,1,166.2,51.8,18.75286904
37,1,170,63,21.79930796
33,1,162.7,53.9,20.36168241
48,0,168.6,71,24.97716876
22,0,175.8,66.6,21.54946476
27,0,173.9,79,26.12329335
38,0,171.4,71.7,24.40605134
62,0,164.5,64.02,23.65831801
31,0,176.5,69.3,22.24558419
22,0,175,69.8,22.79183673
29,0,179,79.1,24.68711963
22,0,170,73.6,25.46712803
50,1,153.9,43.8,18.49255295
32,0,176.3,71.8,23.100417
46,0,163.5,71.1,26.59708779
31,0,178,78.2,24.68122712
22,0,179.6,70,21.70128124
28,0,176.2,83.7,26.95961276
31,0,173.7,83.8,27.77438055
59,0,165.7,57.6,20.97864658
34,1,162.1,79.3,30.1791607
37,0,170.8,60.5,20.73860988
64,1,153.2,50.1,21.34618138
63,1,147.4,52.1,23.97964538
25,1,160,53.1,20.7421875
57,1,159.2,68.6,27.066867
41,0,177.1,74.9,23.88057037
27,0,179.5,87,27.00165269
48,0,166.9,69.5,24.95009084
26,1,157.6,50.1,20.17090108
30,0,179.5,90.8,28.18103522
34,0,175,71,23.18367347
23,0,182.7,67.6,20.25207846
30,0,185,77.9,22.76113952
25,0,175,72.6,23.70612245
25,0,174.3,79.68,26.22735841
35,0,184.6,79,23.18268306
54,1,162.4,56.2,21.3090587
50,1,154.6,53.2,22.25833391
21,0,175.1,103.6,33.78994332
64,1,163.6,55.2,20.62398001
24,0,173.6,71.2,23.62547516
39,1,167.8,65.7,23.33358431
21,0,183,80.1,23.91830153
27,0,165.8,73.8,26.84647744
36,0,166.7,74.1,26.6653328
23,1,162.7,63.9,24.13936004
24,1,164.8,52,19.1464794
62,1,162.4,68.1,25.82111917
39,1,161.5,52,19.93693029
62,1,155,50.7,21.10301769
22,1,154.8,59.3,24.74644286
64,1,158,62.3,24.95593655
22,0,172.1,80.2,27.07775333
22,0,172.9,76.3,25.52316637
24,1,165.2,53.7,19.67678769
43,0,171.3,65.76,22.41026947
25,0,176.4,70.4,22.62431806
36,1,156.1,48.9,20.06795197
49,0,181.9,73.4,22.18353033
54,1,150.9,54.4,23.89023491
56,0,173.7,76.3,25.28860664
24,0,179.3,86.4,26.87529025
46,0,176.1,69.2,22.31451143
24,1,160,51.8,20.234375
21,0,174.8,78.7,25.75679822
21,1,160.8,48.9,18.91197
25,1,168.1,57.5,20.34850081
21,0,169.5,61.6,21.44081586
51,0,169,69,24.15881797
21,0,175.8,66.26,21.43945248
21,0,171.6,72.5,24.62087252
44,1,157.6,46.8,18.84227885
62,1,153.3,54.9,23.3608174
63,0,174.4,71.8,23.60649356
38,1,163.1,61,22.9309429
38,1,166.2,60.4,21.86627973
52,0,163.4,61.3,22.95917985
31,0,177.8,89.3,28.24801568
54,1,157.1,66.2,26.82289314
24,0,170.6,69.9,24.01702013
28,0,174.5,69.4,22.79127429
35,0,171.5,76.2,25.90757253
25,0,171.4,69.4,23.62315151
32,0,164,65.8,24.4646044
27,1,160.4,55.68,21.64165646
63,0,166.8,58.4,20.99040192
26,0,167.3,63.3,22.6157934
28,0,167.8,65.5,23.26255361
35,1,159.4,55.7,21.92191861
56,0,171.4,75,25.5293424
24,1,166.6,66,23.77901941
42,0,181.6,79.6,24.13689379
27,0,180,92.6,28.58024691
46,0,172.5,78.7,26.44822516
28,0,173.3,70.8,23.57415487
48,0,175.3,96.7,31.46752906
28,0,171.6,62.2,21.12301063
37,0,169.3,73.84,25.76189298
35,0,168.1,67.1,23.74581573
37,0,170,83.6,28.92733564
28,1,167,60.5,21.69314066
30,0,171.5,70.7,24.03760338
50,0,167.8,76.1,27.02718061
22,1,167.4,66.2,23.62365449
46,0,170,77.1,26.67820069
31,1,165.1,55.1,20.21424161
54,1,164.6,67.1,24.7663986
36,1,155.4,49.9,20.6632446
37,0,171.9,96.6,32.69078678
37,0,172,73.1,24.70930233
21,0,183.5,88.7,26.34216603
62,1,152.7,59.8,25.64620503
47,1,153.5,54.4,23.08777812
24,1,160.4,58.7,22.81546757
26,0,174.8,81.8,26.7713608
29,1,161.1,55.9,21.53876149
60,1,155.1,52.2,21.69935912
45,0,174.5,87.7,28.80107717
61,1,164.7,82.3,30.33979464
63,0,163.9,57.6,21.44196468
22,1,152.9,45,19.24852888
21,0,185.9,69.5,20.11064617
32,0,177.3,77.5,24.65382059
26,1,164.5,63.2,23.35529051
22,0,179.3,75.1,23.36035067
28,1,159.5,48.8,19.18220143
28,1,160.6,53.3,20.66503414
30,1,167.2,61,21.82012774
26,1,159.3,49,19.30921101
63,1,156.9,55.9,22.70732212
22,1,164.2,47.4,17.58053293
23,0,173,66.8,22.31948946
42,0,172.2,70.9,23.91002009
24,0,172,70.6,23.86425095
33,0,186.8,117.5,33.6731793
34,0,170.6,71.7,24.63548417
24,1,168.2,54,19.08718034
22,1,164.3,59.44,22.01930838
33,1,154,54.7,23.06459774
60,0,165.5,74.2,27.08993164
25,0,171,77.4,26.46968298
27,0,182,80.8,24.39318923
26,0,177,79,25.21625331
56,1,159.5,50,19.65389491
63,0,159.3,64.6,25.45663329
22,0,169.3,62.3,21.73572498
24,1,160.7,58.2,22.5367471
38,0,173.5,77.7,25.81202402
54,0,171.5,72.9,24.78559104
25,0,182,93.5,28.22726724
59,1,148.2,53.3,24.26782205
22,1,163.2,52.4,19.67392349
24,1,167.9,55.9,19.82943845
24,1,164.9,55.4,20.37363181
22,0,175.6,96.4,31.26280997
55,1,161,61.9,23.88025153
46,1,163,63.8,24.01294742
22,1,168.6,71,24.97716876
26,1,162.1,56.9,21.65440408
29,0,166.8,69.2,24.87218858
46,0,167.2,71.1,25.43296857
61,0,161.1,66.1,25.46891117
21,0,173.7,73,24.19486611
32,1,151.2,52.4,22.92069091
27,0,171.8,74.8,25.34283983
22,0,179.4,70.5,21.90504953
58,0,177.7,73.9,23.40289493
26,0,172.3,65.9,22.19805176
21,1,164.2,64,23.73742844
59,0,169.4,75.9,26.44934758
24,1,173.3,65.3,21.74282928
45,0,168,62,21.96712018
22,0,179.4,78.6,24.42179991
35,0,191.6,125.7,34.2408288
28,0,169.1,64,22.38168395
29,1,158.4,57.22,22.80538976
60,0,169.7,73.9,25.66142407
22,0,184.9,73.9,21.61576529
21,1,172.8,54.8,18.35240912
37,0,173.4,70,23.28090474
35,1,154,47.6,20.07083825
26,1,170,58.9,20.38062284
57,1,161.3,59.8,22.98436179
29,0,177.9,65.2,20.60135091
35,0,181.5,98.5,29.90081127
38,0,167.7,67.9,24.14369016
28,0,164.3,63.2,23.41218523
63,0,167.4,59.8,21.33979665
47,0,167.8,68.8,24.43456013
57,0,168.2,74.5,26.33323955
30,0,180,85.08,26.25925926
35,0,164.6,66,24.36039207
24,0,165.7,63.5,23.127501
28,1,158.6,45.8,18.20786866
59,0,174.5,72.4,23.77648788
42,0,172.1,65.74,22.19565466
45,0,164.7,56.1,20.68119659
51,1,163.3,55,20.62482727
39,1,162.1,45,17.12562713
40,0,169.5,75.6,26.31372856
25,1,163.5,56.18,21.01581423
58,1,155.6,82,33.86839897
29,0,181.2,94.72,28.84863724
24,0,172.1,72.4,24.44425612
58,0,167.5,65.5,23.34595678
38,1,156.3,44.9,18.37927538
62,0,172.1,71.52,24.14714362
35,1,156.4,48.5,19.8275129
31,1,159.3,47.9,18.87573892
51,0,163.5,53.8,20.12550384
24,0,174.9,75.1,24.55049868
30,0,175.2,71.5,23.29366569
36,0,172.5,80.8,27.15395925
36,1,158.5,53.56,21.31974644
26,1,160,62.4,24.375
39,0,175.5,88.1,28.60366393
28,0,169.1,70.8,24.75973787
31,0,175.1,76.2,24.85322086
32,0,167.1,69.5,24.89040165
21,1,153.9,58.8,24.82561903
60,0,164.3,74,27.41300169
23,0,172.8,76.4,25.58620542
21,0,186.4,92.5,26.62256627
45,1,164,51.7,19.22218917
31,0,168.5,68.2,24.02063944
31,0,168.4,63.38,22.34951281
26,0,169.9,95.5,33.08389348
43,1,162.7,51.1,19.30393268
28,1,168.6,60.2,21.17782478
21,0,157.5,45.5,18.34215168
26,0,170.3,64.6,22.27425679
21,1,168.2,77.9,27.53502498
21,0,169.3,71.1,24.80593975
37,0,172.1,72.5,24.47801891
61,0,167.2,69.7,24.93217875
29,1,160.7,49.24,19.06717228
59,1,163.3,62.54,23.45230359
21,0,173,70.3,23.48892379
21,0,171,67.3,23.01562874
26,0,176,80.5,25.98786157
31,0,166.9,73.6,26.42196671
25,1,158.1,56.3,22.52395521
23,1,166,55.8,20.24967339
36,0,170.4,66,22.73027838
25,1,163.8,54.2,20.20093595
44,0,185.6,87.1,25.28495652
34,0,158.3,64.1,25.57974435
64,0,160.5,67.9,26.35843984
23,1,158.7,67.2,26.68181813
42,1,165.4,65.9,24.08875775
28,1,159.6,50.8,19.94334206
22,0,176.5,69.88,22.43176657
61,0,167.4,57.1,20.37629413
22,0,166,76.1,27.61649006
32,0,163.5,70.4,26.33523179
56,1,158.6,59.74,23.7497396
25,0,170.7,66.8,22.92500401
21,0,185.8,83.6,24.21669422
23,1,152.7,48.08,20.61989193
28,1,153.6,54.7,23.18488227
23,0,172,72,24.33747972
45,1,155.9,58.2,23.94587738
60,0,172.5,73.9,24.83511867
33,0,168.7,62.3,21.8906109
53,0,170.4,68.8,23.69459322
22,0,169,73.8,25.83943139
45,0,167.4,82.9,29.58309603
31,0,185.3,93.14,27.12597736
25,0,185,88.1,25.74141709
39,0,169.9,62.7,21.72104839
22,1,163.3,57.2,21.44982036
26,0,181.9,87.3,26.38449861
35,1,151.7,44.1,19.16317333
28,0,180.1,75.4,23.24576913
39,0,184.4,85.7,25.20339166
29,0,171.5,75.36,25.62197724
40,0,180.1,82.4,25.40386441
46,0,168.4,75,26.44704103
29,1,159.6,61.9,24.30104082
26,0,165.9,68.7,24.96111407
36,0,176.7,72.7,23.28419951
27,1,174.4,64.4,21.17351233
36,0,168,83.5,29.58475057
24,1,161.7,50,19.12273314
26,1,163.5,52,19.45215984
23,1,175.1,70.8,23.09196899
48,1,153,51.7,22.08552266
56,0,162.7,74.8,28.25702865
23,0,179,78.6,24.53106957
44,0,167.1,59.9,21.45230301
21,1,163.3,45.3,16.98735773
42,0,174.7,76.2,24.96716097
52,1,159,59.5,23.53546141
26,0,171.1,72.7,24.83329752
29,0,184.3,89.5,26.34949917
21,1,163.4,55.92,20.94416537
60,1,162.6,63.2,23.90429808
25,1,163.5,54.5,20.38735984
23,0,162.6,63.8,24.13123762
24,1,163.7,61,22.76315608
53,0,180.8,78,23.86150051
51,1,159.6,79.9,31.36757935
37,1,163.9,67,24.94117419
37,1,155,71.1,29.59417274
37,0,172.6,78.26,26.2698904
23,0,175.2,70.8,23.06561581
61,1,153.3,52.3,22.25447632
50,0,167.8,69.6,24.71868292
38,1,170.6,62.8,21.57752309
35,0,179,79,24.65590962
26,1,154.5,60.4,25.30346352
25,0,172.5,62.4,20.97038437
62,0,176.5,70.9,22.75919075
34,1,159.4,69.2,27.23513048
32,1,153.6,49.4,20.93844944
27,1,166.3,52.3,18.91111739
33,0,169.3,71.1,24.80593975
30,0,172.9,82.7,27.66403485
56,0,168.9,72.28,25.33721314
29,0,187,85.3,24.39303383
36,0,167.9,65.5,23.23485185
47,1,158.2,55.9,22.33566306
64,1,153.3,66.3,28.21169751
55,0,172.9,67.5,22.57947222
27,1,151.5,49.8,21.69721923
38,1,166.6,64.6,23.27461597
24,0,174.8,72.4,23.69494525
41,1,165.2,67.5,24.73339235
58,1,157.8,57.6,23.13174977
28,0,178,82.2,25.94369398
23,1,163.1,55.2,20.75062374
58,0,168.7,76.1,26.73957446
21,1,158,52.4,20.99022593
34,0,171.1,68.4,23.364478
50,0,177.8,86.3,27.29903419
62,1,149.1,60,26.98956988
27,0,174.5,76.8,25.2214678
52,0,145.8,58.6,27.5665596
44,1,155,62,25.80645161
23,1,168.8,59.3,20.81180791
59,0,170.8,72.3,24.78349577
24,0,181.4,86.8,26.37820018
28,0,178,83.46,26.34137104
60,1,169.3,61.3,21.38683694
41,0,176,78.4,25.30991736
60,0,164.7,55.8,20.57060196
57,1,154.3,62.7,26.33514347
23,1,165.9,55.5,20.16509215
33,0,172.7,66.1,22.16239976
37,1,167.8,70,24.86074432
63,0,167.6,57.5,20.47009302
26,0,172.1,73,24.64683283
26,1,170.4,66.8,23.00579691
63,1,150.2,51.9,23.00527836
21,0,177.6,74.5,23.61948097
57,0,175.5,82.3,26.72056233
26,0,172,76.7,25.92617631
50,0,173.6,68.9,22.86229268
43,1,159.9,56.4,22.0588149
61,0,177.8,78.1,24.70515145
21,0,172.5,71.3,23.96135266
56,0,167.3,54.7,19.54318956
39,0,178.3,80.3,25.25880842
61,0,159.4,56.3,22.15806136
26,1,158.2,60.9,24.33348623
25,0,171.9,80.5,27.24232232
29,1,162.5,57.2,21.66153846
25,1,159,50.3,19.89636486
45,1,159,50.1,19.81725406
27,0,176,70.8,22.85640496
27,1,168.1,72.7,25.72758276
26,0,176.1,73.7,23.7655996
50,0,165.5,71.6,26.14068875
22,0,170.3,63.1,21.75705268
35,0,168.1,67.6,23.92275921
27,0,171,63.5,21.71608358
24,0,170.2,79.7,27.51307993
25,0,162.9,60.3,22.72349576
21,0,171.9,61.4,20.77861603
64,0,163.4,62.1,23.25881026
21,0,179.1,70.5,21.97849474
60,1,153.2,50.2,21.38878853
52,0,169.3,68.8,24.00349725
35,0,173.7,68.5,22.70340177
35,0,169.7,97.26,33.77307314
58,0,177.4,73.2,23.25968613
41,0,170.2,85.4,29.4807657
23,0,182.8,88.8,26.57422348
47,0,176.5,77,24.71731576
30,0,180.3,89.2,27.43932357
62,1,162.8,58.2,21.95908216
48,0,179.2,79.7,24.81888752
57,1,160.4,62.4,24.25358051
32,0,175.7,61.3,19.8571516
30,0,167.2,60.6,21.67704494
23,0,168.7,61,21.43382447
23,0,179.6,67.6,20.95723732
61,0,177.5,68.4,21.70997818
53,1,163.9,60.8,22.63318494
27,1,163.2,53.8,20.19956267
47,1,164.7,55.3,20.38627757
47,1,159.9,52,20.33791445
34,0,175.6,89.5,29.02511921
27,0,173.6,69.2,22.96183822
21,1,152.5,47,20.20962107
22,0,187,101.3,28.96851497
21,1,160.7,49.6,19.20657484
38,0,176.6,69.1,22.15627
32,0,176.1,75.5,24.34603487
54,1,156.8,60.6,24.64793315
23,1,155.8,50.4,20.76326418
26,0,176.3,75.02,24.1363967
22,1,170.8,66.5,22.79533152
61,0,167,62.92,22.56086629
32,0,179.3,86,26.75086761
48,0,175,84.3,27.52653061
37,1,161.2,53.6,20.6269357
34,0,169.4,77.1,26.86751909
